aircraft_id,flight_no,stop_order,facility_id,arrival_time,departure_time,refuel
A01-T1-H01,1,0,A01,,2026-08-05 06:00,0
A01-T1-H01,1,1,F011,2026-08-05 06:49,2026-08-05 07:09,1
A01-T1-H01,1,2,F013,2026-08-05 07:37,2026-08-05 07:47,0
A01-T1-H01,1,3,F006,2026-08-05 07:59,2026-08-05 08:19,1
A01-T1-H01,1,4,A01,2026-08-05 09:16,,0
A01-T1-H01,2,0,A01,,2026-08-07 08:46,0
A01-T1-H01,2,1,F014,2026-08-07 09:26,2026-08-07 09:36,0
A01-T1-H01,2,2,F017,2026-08-07 09:46,2026-08-07 09:56,0
A01-T1-H01,2,3,F018,2026-08-07 10:07,2026-08-07 10:27,1
A01-T1-H01,2,4,F015,2026-08-07 10:37,2026-08-07 10:47,0
A01-T1-H01,2,5,F009,2026-08-07 10:57,2026-08-07 11:07,0
A01-T1-H01,2,6,A01,2026-08-07 11:47,,0
A01-T1-H02,1,0,A01,,2026-08-03 07:56,0
A01-T1-H02,1,1,F018,2026-08-03 08:44,2026-08-03 09:04,1
A01-T1-H02,1,2,F026,2026-08-03 09:08,2026-08-03 09:18,0
A01-T1-H02,1,3,A01,2026-08-03 10:07,,0
A01-T1-H02,2,0,A01,,2026-08-05 07:10,0
A01-T1-H02,2,1,F009,2026-08-05 07:50,2026-08-05 08:00,0
A01-T1-H02,2,2,F005,2026-08-05 08:14,2026-08-05 08:24,0
A01-T1-H02,2,3,F018,2026-08-05 08:29,2026-08-05 08:49,1
A01-T1-H02,2,4,F017,2026-08-05 09:00,2026-08-05 09:10,0
A01-T1-H02,2,5,A01,2026-08-05 09:47,,0
A01-T1-H02,3,0,A01,,2026-08-06 15:14,0
A01-T1-H02,3,1,F019,2026-08-06 16:03,2026-08-06 16:13,0
A01-T1-H02,3,2,F018,2026-08-06 16:24,2026-08-06 16:44,1
A01-T1-H02,3,3,F016,2026-08-06 16:49,2026-08-06 16:59,0
A01-T1-H02,3,4,A01,2026-08-06 17:43,,0
A01-T1-H02,4,0,A01,,2026-08-08 07:19,0
A01-T1-H02,4,1,F005,2026-08-08 08:05,2026-08-08 08:15,0
A01-T1-H02,4,2,F012,2026-08-08 08:20,2026-08-08 08:30,0
A01-T1-H02,4,3,F018,2026-08-08 08:35,2026-08-08 08:55,1
A01-T1-H02,4,4,A01,2026-08-08 09:43,,0
A01-T1-H03,1,0,A01,,2026-08-06 06:50,0
A01-T1-H03,1,1,F014,2026-08-06 07:30,2026-08-06 07:40,0
A01-T1-H03,1,2,F011,2026-08-06 07:51,2026-08-06 08:11,1
A01-T1-H03,1,3,F015,2026-08-06 08:19,2026-08-06 08:29,0
A01-T1-H03,1,4,A01,2026-08-06 09:15,,0
A01-T1-H03,2,0,A01,,2026-08-07 07:12,0
A01-T1-H03,2,1,F006,2026-08-07 08:09,2026-08-07 08:29,1
A01-T1-H03,2,2,F003,2026-08-07 08:40,2026-08-07 08:50,0
A01-T1-H03,2,3,A01,2026-08-07 09:37,,0
A01-T1-H03,3,0,A01,,2026-08-08 07:30,0
A01-T1-H03,3,1,F006,2026-08-08 08:27,2026-08-08 08:47,1
A01-T1-H03,3,2,F007,2026-08-08 08:51,2026-08-08 09:01,0
A01-T1-H03,3,3,F004,2026-08-08 09:10,2026-08-08 09:20,0
A01-T1-H03,3,4,A01,2026-08-08 10:08,,0
A01-T1-H03,4,0,A01,,2026-08-09 09:11,0
A01-T1-H03,4,1,F018,2026-08-09 09:59,2026-08-09 10:19,1
A01-T1-H03,4,2,F014,2026-08-09 10:32,2026-08-09 10:42,0
A01-T1-H03,4,3,A01,2026-08-09 11:22,,0
A01-T2-H01,1,0,A01,,2026-08-03 06:43,0
A01-T2-H01,1,1,F001,2026-08-03 07:43,2026-08-03 07:53,0
A01-T2-H01,1,2,F011,2026-08-03 08:21,2026-08-03 08:41,1
A01-T2-H01,1,3,F007,2026-08-03 09:04,2026-08-03 09:14,0
A01-T2-H01,1,4,F003,2026-08-03 09:28,2026-08-03 09:38,0
A01-T2-H01,1,5,A01,2026-08-03 10:31,,0
A01-T2-H01,2,0,A01,,2026-08-04 08:21,0
A01-T2-H01,2,1,F002,2026-08-04 09:21,2026-08-04 09:31,0
A01-T2-H01,2,2,F004,2026-08-04 09:40,2026-08-04 09:50,0
A01-T2-H01,2,3,F003,2026-08-04 09:56,2026-08-04 10:06,0
A01-T2-H01,2,4,F008,2026-08-04 10:17,2026-08-04 10:27,0
A01-T2-H01,2,5,F011,2026-08-04 10:36,2026-08-04 10:56,1
A01-T2-H01,2,6,A01,2026-08-04 11:51,,0
A01-T2-H01,3,0,A01,,2026-08-05 07:38,0
A01-T2-H01,3,1,F013,2026-08-05 08:55,2026-08-05 09:05,0
A01-T2-H01,3,2,F011,2026-08-05 09:37,2026-08-05 09:57,1
A01-T2-H01,3,3,F012,2026-08-05 10:14,2026-08-05 10:24,0
A01-T2-H01,3,4,F009,2026-08-05 10:44,2026-08-05 10:54,0
A01-T2-H01,3,5,F003,2026-08-05 11:08,2026-08-05 11:18,0
A01-T2-H01,3,6,A01,2026-08-05 12:11,,0
A01-T2-H01,4,0,A01,,2026-08-06 09:39,0
A01-T2-H01,4,1,F017,2026-08-06 10:21,2026-08-06 10:31,0
A01-T2-H01,4,2,A01,2026-08-06 11:13,,0
A01-T2-H01,5,0,A01,,2026-08-07 09:10,0
A01-T2-H01,5,1,F005,2026-08-07 10:02,2026-08-07 10:12,0
A01-T2-H01,5,2,A01,2026-08-07 11:04,,0
A01-T2-H01,6,0,A01,,2026-08-08 08:05,0
A01-T2-H01,6,1,F011,2026-08-08 09:00,2026-08-08 09:20,1
A01-T2-H01,6,2,F008,2026-08-08 09:29,2026-08-08 09:39,0
A01-T2-H01,6,3,F013,2026-08-08 10:02,2026-08-08 10:12,0
A01-T2-H01,6,4,A01,2026-08-08 11:29,,0
A01-T2-H01,7,0,A01,,2026-08-09 08:53,0
A01-T2-H01,7,1,F015,2026-08-09 09:46,2026-08-09 09:56,0
A01-T2-H01,7,2,F009,2026-08-09 10:07,2026-08-09 10:17,0
A01-T2-H01,7,3,A01,2026-08-09 11:03,,0
A01-T2-H02,1,0,A01,,2026-08-03 07:01,0
A01-T2-H02,1,1,F007,2026-08-03 08:05,2026-08-03 08:15,0
A01-T2-H02,1,2,F006,2026-08-03 08:19,2026-08-03 08:39,1
A01-T2-H02,1,3,A01,2026-08-03 09:44,,0
A01-T2-H02,2,0,A01,,2026-08-03 10:14,0
A01-T2-H02,2,1,F006,2026-08-03 11:19,2026-08-03 11:39,1
A01-T2-H02,2,2,A01,2026-08-03 12:44,,0
A01-T2-H02,3,0,A01,,2026-08-04 07:10,0
A01-T2-H02,3,1,F004,2026-08-04 08:04,2026-08-04 08:14,0
A01-T2-H02,3,2,F008,2026-08-04 08:29,2026-08-04 08:39,0
A01-T2-H02,3,3,F011,2026-08-04 08:48,2026-08-04 09:08,1
A01-T2-H02,3,4,A01,2026-08-04 10:03,,0
A01-T2-H02,4,0,A01,,2026-08-04 10:33,0
A01-T2-H02,4,1,F011,2026-08-04 11:28,2026-08-04 11:48,1
A01-T2-H02,4,2,A01,2026-08-04 12:43,,0
A01-T2-H02,5,0,A01,,2026-08-05 06:00,0
A01-T2-H02,5,1,F024,2026-08-05 06:58,2026-08-05 07:18,1
A01-T2-H02,5,2,F028,2026-08-05 07:56,2026-08-05 08:06,0
A01-T2-H02,5,3,F011,2026-08-05 08:12,2026-08-05 08:22,0
A01-T2-H02,5,4,F014,2026-08-05 08:34,2026-08-05 08:44,0
A01-T2-H02,5,5,A01,2026-08-05 09:29,,0
A01-T2-H02,6,0,A01,,2026-08-06 07:02,0
A01-T2-H02,6,1,F015,2026-08-06 07:55,2026-08-06 08:05,0
A01-T2-H02,6,2,F026,2026-08-06 08:20,2026-08-06 08:30,0
A01-T2-H02,6,3,F033,2026-08-06 08:40,2026-08-06 08:50,0
A01-T2-H02,6,4,F018,2026-08-06 09:04,2026-08-06 09:24,1
